code n_exams probability_pairs seed_gen seed_program min_time_slots time_in_seconds
1 20 20 10717 25438 4 0.000929 
1 20 20 10717 25438 4 0.000834 
1 20 20 13436 17572 4 0.000814 
1 20 20 13436 17572 4 0.000839 
1 20 20 13436 17572 4 0.000890 
1 20 20 24765 10931 4 0.001615 
1 20 20 24765 10931 4 0.002050 
1 20 20 24765 10931 4 0.002189 
1 20 20 7310 3874 4 0.001655 
1 20 20 7310 3874 4 0.001760 
1 20 20 7310 3874 4 0.001707 
1 20 20 6054 4073 4 0.001361 
1 20 20 6054 4073 4 0.001006 
1 20 20 6054 4073 4 0.001700 
1 20 20 6188 159 4 0.001857 
1 20 20 6188 159 4 0.002392 
1 20 20 6188 159 4 0.002300 
1 20 20 9785 10508 4 0.082267 
1 20 20 9785 10508 4 0.064134 
1 20 20 9785 10508 4 0.062365 
1 20 20 1331 3812 4 0.003086 
1 20 20 1331 3812 4 0.002843 
1 20 20 1331 3812 4 0.003057 
1 20 20 17300 8118 3 0.000262 
1 20 20 17300 8118 3 0.000258 
1 20 20 17300 8118 3 0.000250 
1 20 20 7883 17694 3 0.006098 
1 20 20 7883 17694 3 0.006249 
1 20 20 7883 17694 3 0.006061 
1 20 20 27484 4881 3 0.000520 
1 20 20 27484 4881 3 0.000529 
1 20 20 27484 4881 3 0.000509 
1 20 20 23996 21447 3 0.000240 
1 20 20 23996 21447 3 0.000216 
1 20 20 23996 21447 3 0.000228 
1 20 20 17335 13484 4 0.000627 
1 20 20 17335 13484 4 0.000537 
1 20 20 17335 13484 4 0.000767 
1 20 20 13766 29895 3 0.000298 
1 20 20 13766 29895 3 0.000335 
1 20 20 13766 29895 3 0.000318 
1 20 20 6816 23763 3 0.001203 
1 20 20 6816 23763 3 0.001184 
1 20 20 6816 23763 3 0.001219 
1 20 20 22366 3994 4 0.001459 
1 20 20 22366 3994 4 0.001441 
1 20 20 22366 3994 4 0.001082 
1 20 20 22881 13071 3 0.000817 
1 20 20 22881 13071 3 0.000819 
1 20 20 22881 13071 3 0.000815 
